relative_time_s,lord_ch1_x_g,our_calibrated_to_lord_ch1_x_g,lord_ch3_z_g,our_calibrated_to_lord_ch3_z_g,lord_ch1_x_norm,our_calibrated_ch1_x_norm,lord_ch3_z_norm,our_calibrated_ch3_z_norm,our_x_raw,our_z_raw,sample_ts_utc,sample_ts_et,batch_id,sample_in_batch
4.840,1.050454373,0.989121818,0.661319523,0.013141027,1.001614049,1.232428589,2.992948871,0.002644188,3637,181,2026-05-03T23:57:16.417Z,2026-05-03 19:57:16.417,102630,36
4.880,1.021289473,0.985276610,-0.193793297,0.005531204,0.565966577,0.404173784,-0.953132464,-0.048785902,3737,92,2026-05-03T23:57:16.457Z,2026-05-03 19:57:16.457,102630,37
4.920,0.983751845,0.988538460,0.027749738,-0.124673902,0.005252433,1.106773723,0.069220159,-0.928761696,3665,-527,2026-05-03T23:57:16.497Z,2026-05-03 19:57:16.497,102630,38
4.960,1.039133439,0.986040998,-0.191077140,-0.247326759,0.832508848,0.568822385,-0.940598238,-1.757696505,3741,-1183,2026-05-03T23:57:16.537Z,2026-05-03 19:57:16.537,102630,39
5.000,1.015249491,0.989508511,0.044691298,-0.135830384,0.475745018,1.315721948,0.147400224,-1.004161457,3641,-571,2026-05-03T23:57:16.577Z,2026-05-03 19:57:16.577,102630,40
5.040,1.030971298,0.987248331,-0.415505494,-0.121351209,0.710587774,0.828880988,-1.976265716,-0.906305666,3698,-527,2026-05-03T23:57:16.617Z,2026-05-03 19:57:16.617,102630,41
5.080,0.978772862,0.986416995,-0.231145430,-0.063128988,-0.069120580,0.649811954,-1.125501008,-0.512817678,3714,-242,2026-05-03T23:57:16.657Z,2026-05-03 19:57:16.657,102630,42
5.120,1.076146140,0.981827151,-0.167322418,-0.110931067,1.385381966,-0.338836905,-0.830977539,-0.835882373,3837,-545,2026-05-03T23:57:16.697Z,2026-05-03 19:57:16.697,102630,43
5.160,0.955973597,0.978880069,0.051447257,-0.077956842,-0.409682079,-0.973635908,0.178576887,-0.613029974,3910,-416,2026-05-03T23:57:16.737Z,2026-05-03 19:57:16.737,102630,44
5.200,0.969839609,0.981638528,-0.097064504,0.004865417,-0.202560060,-0.379466158,-0.506758983,-0.053285544,3831,41,2026-05-03T23:57:16.777Z,2026-05-03 19:57:16.777,102630,45
5.240,0.929015176,0.980590111,-0.026798600,0.154753976,-0.812370493,-0.605294161,-0.182503556,0.959718530,3844,789,2026-05-03T23:57:16.817Z,2026-05-03 19:57:16.817,102630,46
5.280,0.908743525,0.978592899,0.026807446,0.107555348,-1.115176043,-1.035492092,0.064871773,0.640732197,3900,523,2026-05-03T23:57:16.857Z,2026-05-03 19:57:16.857,102630,47
