relative_time_s,sensor_ts_utc,thingy_aligned_ts_utc,sensor_ch1_g,sensor_ch2_g,sensor_ch3_g,sensor_dynamic_mag_z,thingy_x_raw_interp,thingy_y_raw_interp,thingy_z_raw_interp,thingy_dynamic_mag_z_interp
23.296874988,2026-05-04T22:12:31.804687Z,2026-05-04T22:13:33.228749988Z,0.934031069278717,0.3347480297088623,0.1487462222576141,-0.5446904297343665,3845.9374898,-9.593750899999991,437.06244300000054,-0.43656658162347806
23.304687488,2026-05-04T22:12:31.812500Z,2026-05-04T22:13:33.236562488Z,0.9351245760917664,0.3353997766971588,0.1351223587989807,-0.551399461212817,3852.5781148,-9.007813399999979,474.17181800000134,-0.4019327419026794
23.312499988,2026-05-04T22:12:31.820312Z,2026-05-04T22:13:33.244374988Z,0.9356400966644288,0.335880845785141,0.120868057012558,-0.5601687373933636,3859.2187398000005,-8.421875899999966,511.28119300000213,-0.36729890218188077
23.320312488,2026-05-04T22:12:31.828125Z,2026-05-04T22:13:33.252187488Z,0.9347184300422668,0.3356325626373291,0.1070750504732132,-0.5314738233467833,3862.7421944,-6.1406351999996405,538.9843696000002,-0.34628255767746885
23.328124988,2026-05-04T22:12:31.835937Z,2026-05-04T22:13:33.259999988Z,0.9357338547706604,0.3354463279247284,0.0936664640903472,-0.5271447878481744,3858.2500069000002,0.49998979999991067,542.4999945999999,-0.36028289623695947
23.335937488,2026-05-04T22:12:31.843750Z,2026-05-04T22:13:33.267812488Z,0.9366555213928224,0.3346859812736511,0.0796120539307594,-0.5208642996781434,3853.7578194000002,7.1406147999994625,546.0156195999997,-0.37428323479645015
23.343749988,2026-05-04T22:12:31.851562Z,2026-05-04T22:13:33.275624988Z,0.93565571308136,0.333972156047821,0.0626052916049957,-0.493260063360724,3849.2656319000007,13.781239799999014,549.5312445999995,-0.3882835733559408
23.351562488,2026-05-04T22:12:31.859375Z,2026-05-04T22:13:33.283437488Z,0.9369055032730104,0.3334600627422333,0.0460444614291191,-0.49525338869307073,3844.773444400001,20.421864799998566,553.0468695999992,-0.40228391191543145
23.359374988,2026-05-04T22:12:31.867187Z,2026-05-04T22:13:33.291249988Z,0.9396549463272096,0.3318772614002228,0.0312980897724628,-0.5137805726242397,3840.5312545000006,26.0,551.843789900007,-0.41712526682393264
23.367187488,2026-05-04T22:12:31.875000Z,2026-05-04T22:13:33.299062488Z,0.9396393299102784,0.3301858305931091,0.0159212723374366,-0.5028478196534921,3837.6015670000006,26.0,525.8672274000064,-0.4363820080262134
23.374999988,2026-05-04T22:12:31.882812Z,2026-05-04T22:13:33.306874988Z,0.9392018914222716,0.3298754990100861,0.0002984255552291,-0.4954097044140218,3834.6718795000006,26.0,499.8906649000059,-0.4556387492284942
23.382812488,2026-05-04T22:12:31.890625Z,2026-05-04T22:13:33.314687488Z,0.9402173161506652,0.3296582400798798,-0.0130332764238119,-0.5066506509062222,3831.7421920000006,26.0,473.91410240000533,-0.47489549043077495
23.390624988,2026-05-04T22:12:31.898437Z,2026-05-04T22:13:33.322499988Z,0.9417951703071594,0.3275633454322815,-0.0256115105003118,-0.5189485629144185,3828.8125045000006,26.0,447.93753990000477,-0.4941522316330557
23.398437488,2026-05-04T22:12:31.906250Z,2026-05-04T22:13:33.330312488Z,0.9421856999397278,0.3264615833759308,-0.0381128638982772,-0.5237357271778904,3825.9453146,26.015624399999936,421.1563208000075,-0.5129385525055253
23.406249988,2026-05-04T22:12:31.914062Z,2026-05-04T22:13:33.338124988Z,0.942576229572296,0.3273771405220032,-0.0500452741980552,-0.537741638863227,3824.5781271,26.406249399999943,375.06257080000654,-0.5204343338416215
23.414062488,2026-05-04T22:12:31.921875Z,2026-05-04T22:13:33.345937488Z,0.9423731565475464,0.3271133303642273,-0.0601478442549705,-0.5403957339750127,3823.2109396,26.796874399999954,328.9688208000055,-0.5279301151777176
23.421874988,2026-05-04T22:12:31.929687Z,2026-05-04T22:13:33.353749988Z,0.9436854124069214,0.3257788121700287,-0.0669136419892311,-0.5545916626102352,3821.8437521,27.18749939999996,282.87507080000455,-0.5354258965138137
23.429687488,2026-05-04T22:12:31.937500Z,2026-05-04T22:13:33.361562488Z,0.9431855082511902,0.325965017080307,-0.0739254727959632,-0.5551555368192178,3820.4765646,27.578124399999968,236.78132080000358,-0.5429216778499097
